Parameters: data size = 10000054 ratings, movies in common minimum = 6
[12726,5,35,56,194],
[45847,59,72,628,47748],
[51193,59,517,525,60238],
[34807,5,22,95,25958],
[63755,46,508,2741,9957],
[25743,26,59,76,14871],
[48975,73,932,7276,3195],
[51908,5,170,327,48311],
[21615,17,56,1573,34670],
[17542,13,131,163,8266],
[1904,2,118,547,25130],
[32849,26,141,641,62841],
[57977,5,35,960,25647],
[38890,10,189,1603,2771],
[11504,10,333,679,44800],
[2193,5,22,56,29867],
[31402,4,176,1299,17914],
[54900,2,204,473,2074],
[34071,33,142,175,43754],
[10503,2,229,267,69692],
[66604,23,157,269,42299],
[48067,7,192,272,30340],
[51138,26,172,253,30497],
[8783,5,10,295,7928],
[26015,5,100,272,29867],
[3907,16,358,2313,69540],
[1161,2,473,796,8405],
[61187,5,35,56,25647],
[56273,71,208,369,31079],
[56514,5,10,107,12801],
[48692,35,99,843,19440],
[69920,47,59,636,2671],
[35477,4,54,712,14118],
[2622,11,14,178,9245],
[1520,35,44,53,35195],
[60053,27,253,997,31376],
[23026,16,121,396,25988],
[53298,40,79,192,4829],
[22618,4,230,897,31930],
[11442,5,22,56,29867],
[11634,5,56,144,25958],
[49135,4,267,758,3376],
[53698,45,431,433,49143],
[38892,22,26,95,6849],
[13801,5,35,272,7928],
[66224,59,76,160,20441],
[22972,23,33,155,4305],
[5227,2,84,232,12913],
[59443,54,136,1933,32456],
[22330,2,229,796,27897],
[61477,2,84,229,20017],
[26008,2,64,92,51254],
[59802,7,160,272,47055],
[5264,5,10,295,36727],
[31800,58,255,264,31868],
[33582,7,35,160,37149],
[4065,2,1019,1296,70297],
[49336,5,10,69,27095],
[41420,5,10,107,38304],
[2626,47,2420,4515,60109],
[41697,73,353,2153,10694],
[58024,13,301,314,50361],
[60670,5,95,296,29867],
[37366,8,149,1897,47388],
[55069,176,2669,2926,8936],
[67424,22,26,95,2671],
[58086,26,59,95,2671],
[45737,26,71,264,11975],
[49322,2,84,92,7169],
[25630,12,53,253,3311],
[21258,26,71,172,26912],
[39645,37,75,359,35334],
[50318,5,10,1374,13637],
[26497,8,145,149,10052],
[35106,10,69,581,13434],
[20616,47,95,341,59319],
[61031,59,321,381,13939],
[60140,5,22,95,29867],
[13826,11,53,273,62653],
[36428,4,176,895,13015],
[67405,5,22,95,29867],
[71417,19,88,3300,56931],
[29145,18,26,71,63289],
[69168,2,92,152,37630],
[25776,22,67,305,25958],
[50505,59,332,1243,25111],
[4197,2,64,204,39945],
[6505,33,209,2333,14671],
[42945,23,145,275,34668],
[8226,2,84,92,66899],
[33145,5,98,167,8845],
[47231,5,22,56,31718],
[55743,22,86,305,25958],
[50238,71,77,305,7249],
[52279,4,298,507,41782],
[20186,2,190,309,17251],
[6745,2,126,204,7169],
[54284,5,22,95,58938],
[553,5,13,229,51171],
[71494,2,77,305,62351]
